dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,130,8385,TABU_A,7465.0,6110,0.22176759410801963,1191.54,120,12,0.2
instancias-tsplib,130,8385,TABU_S,6736.0,6110,0.10245499181669394,195.597,120,12,0.2
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,2250.85,120,12,0.4
instancias-tsplib,130,8385,TABU_S,6737.0,6110,0.10261865793780688,257.048,120,12,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,3286.09,120,12,0.6
instancias-tsplib,130,8385,TABU_S,6660.0,6110,0.09001636661211129,311.667,120,12,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,4346.54,120,12,0.8
instancias-tsplib,130,8385,TABU_S,6646.0,6110,0.08772504091653027,376.381,120,12,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,5410.43,120,12,1.0
instancias-tsplib,130,8385,TABU_S,6534.0,6110,0.06939443535188217,451.743,120,12,1.0
instancias-tsplib,130,8385,TABU_A,7465.0,6110,0.22176759410801963,991.824,120,10,0.2
instancias-tsplib,130,8385,TABU_S,6849.0,6110,0.120949263502455,162.32,120,10,0.2
instancias-tsplib,130,8385,TABU_A,7465.0,6110,0.22176759410801963,1894.82,120,10,0.4
instancias-tsplib,130,8385,TABU_S,6748.0,6110,0.1044189852700491,211.7,120,10,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,2777.14,120,10,0.6
instancias-tsplib,130,8385,TABU_S,6714.0,6110,0.0988543371522095,262.689,120,10,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,3614.73,120,10,0.8
instancias-tsplib,130,8385,TABU_S,6634.0,6110,0.08576104746317512,310.892,120,10,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,4501.32,120,10,1.0
instancias-tsplib,130,8385,TABU_S,6602.0,6110,0.08052373158756138,371.722,120,10,1.0
instancias-tsplib,130,8385,TABU_A,7467.0,6110,0.2220949263502455,797.182,120,8,0.2
instancias-tsplib,130,8385,TABU_S,6940.0,6110,0.13584288052373159,131.141,120,8,0.2
instancias-tsplib,130,8385,TABU_A,7465.0,6110,0.22176759410801963,1506.45,120,8,0.4
instancias-tsplib,130,8385,TABU_S,6801.0,6110,0.11309328968903437,166.458,120,8,0.4
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,2202.69,120,8,0.6
instancias-tsplib,130,8385,TABU_S,6825.0,6110,0.11702127659574468,208.348,120,8,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,2897.24,120,8,0.8
instancias-tsplib,130,8385,TABU_S,6766.0,6110,0.10736497545008183,246.946,120,8,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,3600.45,120,8,1.0
instancias-tsplib,130,8385,TABU_S,6765.0,6110,0.1072013093289689,289.455,120,8,1.0
instancias-tsplib,130,8385,TABU_A,7498.0,6110,0.2271685761047463,596.004,120,6,0.2
instancias-tsplib,130,8385,TABU_S,7065.0,6110,0.15630114566284778,96.4753,120,6,0.2
